Empresa,Link Relatório & Contas
ALGAR,https://www.algar.com.pt/media/p3anjntq/algar_rc2025_vf-2.pdf
AMARSUL,https://www.amarsul.pt/media/zlhmjtgz/rc2025_para-assinar-publicar-no-site.pdf
AMBILITAL,https://ambilital.pt/media/odcdqoyq/relat%C3%B3rio-e-contas-anuais-2025.pdf
AMBISOUSA,https://www.ambisousa.pt/fotos/editor2/relatorio/2025/rc2025completo.pdf
BRAVAL,
ECOLEZIRIA,
ECOBEIRÃO,https://ecobeirao.pt/files/docs/Balanco2025.pdf
ERSUC,https://www.ersuc.pt/media/mzenyvk4/ersuc-rc-2025.pdf
LIPOR,https://www.lipor.pt/fotos/gca/relatorio_lipor_2025_v17a_bx_6114908346a393d8d95614.pdf
RESIALENTEJO,https://resialentejo.pt/wp-content/uploads/2026/04/Relatorio-e-Contas-2025.pdf
RESIDUOS NORDESTE,https://residuosdonordeste.pt/wp-content/uploads/2026/05/Relatorio-e-Contas-2025.pdf
RESIESTRELA,https://www.resiestrela.pt/media/h53dt2tl/resiestrela-rc-2025.pdf
RESINORTE,https://www.resinorte.pt/media/ocyhcn0w/resinorte-rc2025-final-1.pdf
RESULIMA,https://www.resulima.pt/media/xxmkufno/resulima-rc-2025.pdf
RSTJ,https://rstj.pt/wp-content/uploads/2026/04/Relatorio-e-Contas-l-2025.pdf
SULDOURO,https://www.suldouro.pt/media/5cldfb33/suldouro-rc-2025.pdf
TRATOLIXO,https://www.tratolixo.pt/media/iuxe3ig1/relat%C3%B3rio-e-contas_2025_site.pdf
VALNOR,https://www.valnor.pt/media/db4l1fvw/valnor_2025-vers%C3%A3o-final.pdf
VALORLIS,https://www.valorlis.pt/media/uwlapsff/valorlis-rc-2025.pdf
VALORMINHO,https://www.valorminho.pt/media/gbnavijl/valorminho-rc-2025.pdf
VALORSUL,https://www.valorsul.pt/media/kttn04lz/valorsul_valorsul_-rc2025_vf.pdf
